at,bo,ch,cl,da,kc,mi,ny,ph,ri,sf,sl,su,fed_rate
-0.2571428571428571,-0.3793103448275862,0.0,0.23076923076923078,-0.1111111111111111,-0.07317073170731707,-0.5,0.29411764705882354,-0.14285714285714285,0.5454545454545454,0.07692307692307693,0.4,0.3684210526315789,10.25
-0.14285714285714285,-0.4482758620689655,-0.1111111111111111,0.30434782608695654,-0.4594594594594595,-0.28888888888888886,0.23076923076923078,-0.25,-0.3333333333333333,0.47368421052631576,0.30434782608695654,0.14285714285714285,0.0,10.25
0.05,-0.42857142857142855,-0.08571428571428572,-0.28,-0.10344827586206896,-0.14285714285714285,-0.2571428571428571,-0.2549019607843137,-0.2,0.0,-0.23529411764705882,0.28,0.0,10.25
-0.2571428571428571,-0.3333333333333333,-0.2727272727272727,-0.4857142857142857,0.47368421052631576,-0.25,0.1111111111111111,-0.2903225806451613,-0.3333333333333333,0.05263157894736842,0.037037037037037035,-0.125,-0.21739130434782608,10.25
0.6,-0.2903225806451613,-0.2,-0.25,0.047619047619047616,-0.034482758620689655,0.4166666666666667,-0.16666666666666666,0.09090909090909091,0.5714285714285714,0.25,-0.25,0.15789473684210525,10.25
-0.06666666666666667,-0.4634146341463415,-0.4883720930232558,-0.6521739130434783,0.36363636363636365,-0.11627906976744186,0.15151515151515152,0.04,-0.14285714285714285,0.12,-0.2,0.4166666666666667,0.024390243902439025,10.25
-0.1111111111111111,-0.3333333333333333,-0.05555555555555555,-0.2,0.2,0.0,0.2,0.2,-0.1111111111111111,-0.52,0.07692307692307693,-0.21428571428571427,-0.3333333333333333,10.25
0.18518518518518517,-0.3488372093023256,-0.25,-0.7435897435897436,0.2727272727272727,0.1,-0.09090909090909091,0.16129032258064516,0.25,-0.058823529411764705,0.18518518518518517,0.24324324324324326,0.09090909090909091,10.25
-0.1111111111111111,-0.3103448275862069,-0.1111111111111111,-0.47058823529411764,-0.3125,-0.76,0.2222222222222222,0.02040816326530612,-0.23809523809523808,0.36,-0.12,0.15789473684210525,-0.42105263157894735,10.25
0.5333333333333333,-0.2857142857142857,-0.14285714285714285,-0.6666666666666666,-0.02564102564102564,0.25,-0.1111111111111111,0.2682926829268293,0.0,0.45454545454545453,-0.030303030303030304,0.13333333333333333,0.22727272727272727,10.25
0.5294117647058824,-0.2,0.058823529411764705,-0.28,-0.07142857142857142,0.2608695652173913,0.09090909090909091,0.15,0.7333333333333333,0.1111111111111111,0.2903225806451613,0.3684210526315789,0.48936170212765956,10.25
0.030303030303030304,-0.3333333333333333,-0.17647058823529413,-0.45454545454545453,-0.06666666666666667,0.2413793103448276,0.16666666666666666,0.38095238095238093,0.8571428571428571,0.5,-0.5,0.4782608695652174,-0.14285714285714285,10.25
-0.3684210526315789,-0.16666666666666666,-0.125,0.17647058823529413,0.16129032258064516,0.0625,0.125,0.16129032258064516,0.6363636363636364,0.23076923076923078,-0.10344827586206896,0.3333333333333333,0.2916666666666667,10.25
0.4444444444444444,0.13333333333333333,0.15384615384615385,-0.14285714285714285,-0.05555555555555555,0.1891891891891892,-0.125,-0.1111111111111111,-0.25,-0.23076923076923078,-0.07142857142857142,-0.2222222222222222,0.5384615384615384,10.25
-0.2857142857142857,-0.17647058823529413,0.03225806451612903,0.04,-0.2,0.36363636363636365,0.08333333333333333,-0.17647058823529413,0.3333333333333333,0.1111111111111111,-0.030303030303030304,0.14285714285714285,-0.21428571428571427,10.25
0.8181818181818182,-0.125,-0.2727272727272727,-0.2413793103448276,0.0,0.5,0.6551724137931034,-0.08108108108108109,-0.2727272727272727,0.07692307692307693,0.29411764705882354,0.14285714285714285,-0.09090909090909091,10.25
