at,bo,ch,cl,da,kc,mi,ny,ph,ri,sf,sl,su,fed_rate
-0.6530853734281725,-0.9681511160072459,-0.9426388283117016,-0.7968165700943192,-0.7158249648407617,-0.12546276214051835,-0.9271665927739404,-0.44761636336998645,-0.9345560587555487,0.011174074900629992,-0.7464268597531101,-0.28341169358943163,-0.8953779531919717,10.25
-0.42240366650328437,-0.13509019346157938,-0.9510392517256844,-0.8550345441588235,-0.6949485603175504,-0.6098981189006091,-0.3192367921355757,-0.955513126010157,-0.8759658182910042,-0.3216574690463778,-0.8802652423017561,-0.9591240413588257,-0.9187657493069002,10.25
0.2438329993087244,-0.640963090087,-0.5150116602249694,-0.15781289904397178,-0.7065653030200342,0.11288173138930971,-0.5229936218840063,-0.06886764600679368,-0.6293893133606641,0.6452618491985999,0.6492436901883158,0.043878081914216285,0.26221431887614866,10.25
-0.5388623221567642,-0.9080398259195488,-0.35599865918983153,-0.4258485468399811,-0.8025560239503807,-0.3932406020747432,-0.44261174818694143,-0.4548425568552013,-0.3372340214866296,-0.6339259726741089,-0.6829591465797722,-0.7514743960389572,-0.7925209463678154,10.25
-0.8659644690346435,-0.39214692441543475,-0.08912710311895101,-0.9571272336264572,-0.1873034840443025,-0.31199265839549783,-0.7799301957345048,-0.9693690555578073,-0.9287699454539935,-0.42250056398962693,-0.020203453527779542,0.4621215030561837,-0.1152110263262351,10.25
-0.3090183560918581,-0.19312228260869566,-0.9469122642825465,-0.933260303511647,0.07551313664222163,-0.8764231095638303,0.39502928188524256,-0.9515283591949139,0.4713784090177364,0.1416780351551031,-0.17195799290969652,-0.28192480156650646,-0.8359962820068669,10.25
0.7788845239500793,-0.20888248374127713,-0.7435878600674358,-0.5572130365066628,-0.6817888393742655,-0.6605233124585769,-0.17096908398326288,-0.030282787580292087,0.13733053796943884,0.12212374875518352,0.7968439271659024,0.047840967932239575,-0.10815694522203234,10.25
-0.9525432052213719,-0.5562267950812444,-0.9534433171843979,-0.7807306562399392,-0.4648862556575911,-0.9398552768267533,-0.026766529912200163,-0.8738952649938706,-0.9552368743441076,-0.7737184259397653,0.0274634425846669,0.6278564690914525,-0.6956643954864826,10.25
-0.6056553829778294,-0.835685972522534,-0.9627242285502553,-0.9083312191893957,-0.17109978790139221,-0.31361937022516906,0.1507362307846393,-0.746774373640996,-0.7254360594710696,-0.449714989383851,0.07385593932516095,-0.8815787859042649,-0.36147225655173576,10.25
-0.2712324330103844,-0.20924933116954156,-0.8112865723533546,-0.9318931013308526,-0.10912040409386219,-0.8357181830939335,0.6683241941923085,-0.20843871543286555,-0.29352244975423014,0.3553543834859954,-0.825837778235873,-0.9528614595275171,-0.6463004264495252,10.25
-0.19018612532979723,-0.35835433095296804,-0.25565775289393394,-0.6998192380075262,-0.7836101264139974,-0.5123818479169411,-0.4025273036817507,-0.3235108965196415,-0.4407012160988841,-0.014105794691656551,-0.5466748400596015,0.15787702107054163,-0.759024537534754,10.25
-0.061140326228611215,-0.21103121990676127,-0.6103168823435038,-0.8367669300999561,-0.37372003888523875,0.44568513894021744,-0.72965720469431,0.019313564313680767,0.3987576369682965,0.3092558438545153,-0.23364453821814327,-0.14754647912940713,-0.24468645986661489,10.25
0.9153244923307117,0.3694792655561335,0.14775262990117946,0.26104111917379375,-0.36542054355272613,0.44147711122174366,0.22755014047270672,-0.2981095997867452,0.8998899523832377,0.6089720876246367,0.4494073430263097,-0.5201252155013437,0.7001208338162745,10.25
-0.7866379938341754,-0.5362884611330109,0.04745590391131199,-0.8801284916993092,0.40398321501260565,0.8749040132796755,0.6183113866928336,0.6232478485975902,0.8717119068274427,-0.1700174458170966,-0.9061266074902287,0.5569324306978327,-0.509824996349328,10.25
-0.12402966689290637,0.7414844933246493,-0.0028595033919042927,-0.34621972191975176,-0.7839495977501372,0.038401657757669634,-0.05691109653041486,-0.5586154620263964,0.7359651995962088,0.7399945452887491,0.4229451484032638,0.7374431160755449,0.18326195403773243,10.25
0.045153485916620724,-0.2706323453203801,-0.136901124701157,0.013791538932162615,0.5935149013906845,0.479995061550602,-0.9654626631523239,-0.542787558841374,-0.7315538773918222,-0.7906194978924204,-0.12283987332293236,-0.21780243594088647,0.17546667341204533,10.25
-0.6479665464242219,-0.7364780513808741,-0.11572060281344895,-0.8916002052072843,0.05540385041434901,0.5295725340531049,-0.20805865007534746,-0.1441689761336971,-0.3697305706064759,0.33360147550756336,0.19897368190601575,0.8190271508268883,0.2930366769973376,10.25
-0.631940202018412,0.7936025801239994,-0.5186029212780993,0.18746869158080892,-0.4488348969659101,-0.02623576901821847,0.5497709293933515,-0.3879312530809225,0.45506823764822574,0.6034399325423992,-0.14988306900289958,-0.31389330662891096,0.23379421811385914,10.25
